ranking,imdb_id,director,actor 1,actior 2,rating,
74,tt0087843,Sergio Leone (dir.),Robert De Niro, James Woods,8.320338837530635,
75,tt8267604,Nadine Labaki (dir.),Zain Al Rafeea, Yordanos Shiferaw,8.308710618428357,
76,tt4154796,Anthony Russo (dir.),Robert Downey Jr., Chris Evans,8.308651739666283,
77,tt0082096,Wolfgang Petersen (dir.),Jürgen Prochnow, Herbert Grönemeyer,8.306908760918912,
78,tt0057565,Akira Kurosawa (dir.),Toshirô Mifune, Yutaka Sada,8.301437561847758,
79,tt0169547,Sam Mendes (dir.),Kevin Spacey, Annette Bening,8.297092153717301,
80,tt0114709,John Lasseter (dir.),Tom Hanks, Tim Allen,8.296538343483578,
81,tt1187043,Rajkumar Hirani (dir.),Aamir Khan, Madhavan,8.296171595235604,
82,tt8503618,Thomas Kail (dir.),Lin-Manuel Miranda, Phillipa Soo,8.29546387138278,
83,tt0086879,Milos Forman (dir.),F. Murray Abraham, Tom Hulce,8.295313176248117,
84,tt0112573,Mel Gibson (dir.),Mel Gibson, Sophie Marceau,8.293826765729285,
85,tt0361748,Quentin Tarantino (dir.),Brad Pitt, Diane Kruger,8.288694506500088,
86,tt0119217,Gus Van Sant (dir.),Robin Williams, Matt Damon,8.281689497475119,
87,tt0086190,Richard Marquand (dir.),Mark Hamill, Harrison Ford,8.274577334125407,
88,tt0062622,Stanley Kubrick (dir.),Keir Dullea, Gary Lockwood,8.272810293107975,
89,tt0105236,Quentin Tarantino (dir.),Harvey Keitel, Tim Roth,8.271475007402238,
90,tt0022100,Fritz Lang (dir.),Peter Lorre, Ellen Widmann,8.270083143251366,
91,tt0052357,Alfred Hitchcock (dir.),James Stewart, Kim Novak,8.269361922403998,
92,tt0986264,Aamir Khan (dir.),Darsheel Safary, Aamir Khan,8.268640280427105,
93,tt0033467,Orson Welles (dir.),Orson Welles, Joseph Cotten,8.267649634336234,
94,tt0091251,Elem Klimov (dir.),Aleksey Kravchenko, Olga Mironova,8.266720669590743,
95,tt2106476,Thomas Vinterberg (dir.),Mads Mikkelsen, Thomas Bo Larsen,8.265580192495685,
96,tt0180093,Darren Aronofsky (dir.),Ellen Burstyn, Jared Leto,8.260730168806594,
97,tt0045152,Stanley Donen (dir.),Gene Kelly, Donald O'Connor,8.25850409966106,
98,tt0053125,Alfred Hitchcock (dir.),Cary Grant, Eva Marie Saint,8.258062683529566,
